2.1.03.001.377;; 565.408,18 ;C;2.1.03.001.377|-565408,18
2.1.03.001.116;; 7.401.880,00 ;C;2.1.03.001.116|-7401880
2.1.03.001.367;; 53.067,83 ;C;2.1.03.001.367|-53067,83
2.1.03.001.379;; 229.959,94 ;C;2.1.03.001.379|-229959,94
2.1.03.001.117;; 159.286,64 ;C;2.1.03.001.117|-159286,64
2.1.03.001.118;; 855.509,34 ;C;2.1.03.001.118|-855509,34
2.1.03.001.119;; 134.362,88 ;C;2.1.03.001.119|-134362,88
2.1.03.001.120;; 51.272,41 ;C;2.1.03.001.120|-51272,41
2.1.03.001.121;; 11.670,60 ;C;2.1.03.001.121|-11670,6
2.1.03.001.122;; 8.566.716,91 ;C;2.1.03.001.122|-8566716,91
2.1.03.001.123;; 3.228.730,89 ;C;2.1.03.001.123|-3228730,89
2.1.03.001.124;; 2.757,85 ;C;2.1.03.001.124|-2757,85
2.1.03.001.126;; 11.174.392,39 ;C;2.1.03.001.126|-11174392,39
2.1.03.001.127;; 9.758,27 ;C;2.1.03.001.127|-9758,27
2.1.03.001.130;; 15.329,47 ;C;2.1.03.001.130|-15329,47
2.1.03.002.138;; 738,87 ;C;2.1.03.002.138|-738,87
2.1.03.002.141;; 925.116,83 ;C;2.1.03.002.141|-925116,83
2.1.04.001.144;; 95.656,46 ;C;2.1.04.001.144|-95656,46
2.1.04.001.145;; 2.579,97 ;C;2.1.04.001.145|-2579,97
2.1.04.001.146;; 97,05 ;C;2.1.04.001.146|-97,05
2.1.04.001.147;; 3.703,01 ;C;2.1.04.001.147|-3703,01
2.1.04.001.148;; 91.973,15 ;C;2.1.04.001.148|-91973,15
2.1.04.001.150;; 975,43 ;C;2.1.04.001.150|-975,43
2.1.04.001.151;; 9.011,17 ;C;2.1.04.001.151|-9011,17
2.1.04.001.152;; 7.160,22 ;C;2.1.04.001.152|-7160,22
2.1.04.001.154;; 267.118,08 ;C;2.1.04.001.154|-267118,08
2.1.04.002.156;; 7.634.296,28 ;C;2.1.04.002.156|-7634296,28
2.1.04.002.157;; 1.905.504,06 ;C;2.1.04.002.157|-1905504,06
2.1.05.001.160;; 105.077,97 ;C;2.1.05.001.160|-105077,97
2.1.05.001.161;; 3.309,42 ;C;2.1.05.001.161|-3309,42
2.1.05.001.162;; 1.000.000,00 ;C;2.1.05.001.162|-1000000
2.1.05.001.163;; 36.285,90 ;C;2.1.05.001.163|-36285,9
2.1.05.001.164;; 41.800,50 ;C;2.1.05.001.164|-41800,5
